eps:         8.0
min_samples: 20
Silhouette score including outliers: 0.16786752243033728
Silhouette score excluding outliers: 0.555680010180746

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4642                16                21         1       246             0         29378                 0               372              0            408
           0           11643                16                21         1        30            22           715                 0                15              1             35
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             227                16                21         1        19           718           774                 0                 8              7             35
           3             130                17                17        19        19          2385          2413                30                30             27             30
           4              36                20                20        61        61          5401          5411                92                92             20             21
           5              50                16                20        28        30          1654          1662                 0                 0              9             11
           6              29                17                19       123       123          1487          1500                 1                 1              8              9
           7              22                20                20        19        19          8219          8222               105               105             20             20
           8              53                20                20        29        29          4414          4433                55                55             13             15
           9              43                16                20         2        15           795           812                 0                 4             11             32
          10              76                18                18        17        17          4561          4583                 8                 8             84             84
          11              39                16                20         5        17          1131          1152                 0                 5             17             22
          12              32                16                21         8        19          1154          1173                 0                10             13             29
          13              36                19                20        60        60          5138          5149                11                11             32             32
          14             101                16                17       121       121           761           771                 3                 4              6              8
          15              59                16                21         3        11           808           821                 0                 8              3             19
          16              39                16                20         4        19          1312          1331                 0                 4             25             36
          17              78                16                20         4        18          1104          1126                 0                 4             11             27
          18              52                16                20         5        19          1423          1443                 0                 2             24             35
          19              40                20                20        59        59         17724         17735               238               238             29             30
          20              31                20                20         5         5          2003          2018                 5                 5             45             46
          21              39                17                17        16        16          5285          5301                 0                 0            108            108
          22              87                20                20        21        21          1918          1933                 2                 2             33             34
          23              22                16                20        13        22           761           774                 0                 3             15             23
          24              29                19                19        14        14          3190          3202                 0                 0             47             49
          25              21                20                20        14        14          1787          1795                20                20             25             25
          26              35                16                21         2        14           819           840                 0                 4             14             28
          27              25                20                20        11        11          3529          3547                54                54             12             15
          28              36                20                20         6         6          1300          1309                 0                 0             17             18
          29              24                16                20         3        14           774           789                 0                 6              9             20
          30              28                16                20         2        16           878           891                 0                 5             15             25
