eps:         9.5
min_samples: 20
Silhouette score including outliers: 0.1942571453956807
Silhouette score excluding outliers: 0.5253248203700057

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4049                16                21         1       246             0         29378                 0               372              0            408
           0           12296                16                21         1        31            22           797                 0                18              1             39
           1             197                16                21         2        16           793           855                 0                11              1             33
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3              47                16                20         3        20          1311          1332                 0                 4             19             37
           4             131                17                17        19        19          2385          2417                30                30             27             30
           5              36                20                20        61        61          5401          5411                92                92             20             21
           6              69                16                21         2        22           871           899                 0                 9              9             37
           7              52                16                20        28        31          1649          1670                 0                 2              9             15
           8              29                17                19       123       123          1487          1500                 1                 1              8              9
           9              22                20                20        19        19          8219          8222               105               105             20             20
          10              54                20                20        29        29          4414          4438                55                55             13             15
          11              59                16                20         5        19          1423          1448                 0                 2             24             35
          12              76                18                18        17        17          4561          4583                 8                 8             84             84
          13              53                16                21         3        23          1125          1152                 0                10             11             29
          14              38                16                21         8        24          1154          1176                 0                10             13             30
          15              36                19                20        60        60          5138          5149                11                11             32             32
          16             103                16                17       121       121           761           779                 3                 4              6              8
          17              23                16                19         3        16           913           925                 0                 7             22             35
          18              86                16                20         3        18          1103          1122                 0                 9             11             32
          19              41                20                20        59        59         17724         17739               238               238             29             30
          20              33                17                20         3        10          2001          2018                 0                 5             40             46
          21              40                17                17        16        16          5276          5301                 0                 0            107            108
          22              98                17                20         6        22          1918          1934                 0                 6             30             41
          23              29                19                19        14        14          3190          3202                 0                 0             47             49
          24              23                16                19         2        11           840           857                 0                 4             30             45
          25              21                20                20        14        14          1787          1795                20                20             25             25
          26              26                20                20        11        11          3520          3547                54                54             12             15
          27              37                16                20         6         6          1300          1316                 0                 0             11             18
