eps:         8.5
min_samples: 20
Silhouette score including outliers: 0.18478449889276266
Silhouette score excluding outliers: 0.534691585032201

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            4255                16                21         1       246             0         29378                 0               372              0            408
           0           12190                16                21         1        31            22           792                 0                18              1             37
           1             188                16                21         2        16           795           855                 0                11              3             32
           2              64                20                20        20        20          3197          3218                51                51             16             18
           3             131                17                17        19        19          2385          2417                30                30             27             30
           4              36                20                20        61        61          5401          5411                92                92             20             21
           5              36                16                20         2        18           877           894                 0                 5             11             27
           6              51                16                20        28        31          1649          1662                 0                 2              9             14
           7              29                17                19       123       123          1487          1500                 1                 1              8              9
           8              22                20                20        19        19          8219          8222               105               105             20             20
           9              53                20                20        29        29          4414          4433                55                55             13             15
          10              76                18                18        17        17          4561          4583                 8                 8             84             84
          11              48                16                21         4        23          1125          1152                 0                 5             11             24
          12              36                16                21         8        24          1154          1176                 0                10             13             30
          13              36                19                20        60        60          5138          5149                11                11             32             32
          14             102                16                17       121       121           761           775                 3                 4              6              8
          15              44                16                20         3        19          1311          1331                 0                 4             24             37
          16              85                16                20         3        18          1103          1122                 0                 9             11             32
          17              55                16                20         5        19          1423          1443                 0                 2             24             35
          18              40                20                20        59        59         17724         17735               238               238             29             30
          19              31                20                20         5         5          2003          2018                 5                 5             45             46
          20              39                17                17        16        16          5285          5301                 0                 0            108            108
          21              89                18                20        13        21          1918          1934                 0                 2             33             34
          22              29                19                19        14        14          3190          3202                 0                 0             47             49
          23              21                20                20        14        14          1787          1795                20                20             25             25
          24              25                20                20        11        11          3529          3547                54                54             12             15
          25              36                20                20         6         6          1300          1309                 0                 0             17             18
          26              21                16                19         2        11           840           856                 0                 4             34             45
