eps:         7.0
min_samples: 45
Silhouette score including outliers: -0.028412241547074706
Silhouette score excluding outliers: 0.5303692750939816

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6966                16                21         1       246             0         29378                 0               372              0            408
           0            9837                16                21         1        23            28           488                 0                12              1             28
           1              64                20                20        20        20          3197          3218                51                51             16             18
           2             129                17                17        19        19          2391          2413                30                30             27             30
           3              50                16                20        28        30          1654          1662                 0                 0              9             11
           4              91                16                20         2        16           692           712                 0                 3             11             26
           5             350                16                21         2        21           506           540                 0                 9              2             28
           6              76                18                18        17        17          4561          4583                 8                 8             84             84
           7             101                16                17       121       121           761           771                 3                 4              6              8
           8              72                17                20         5        17          1107          1126                 0                 4             11             24
           9              86                20                20        21        21          1918          1929                 2                 2             33             34
          10              46                16                20         4        11           808           815                 0                 8              3             11
