eps:         9.5
min_samples: 10
Silhouette score including outliers: -0.5421617000982704
Silhouette score excluding outliers: -0.31390711807511273

  Cluster ID    Cluster size    Min Dr Scratch    Max Dr Scratch    Min CC    Max CC    Min blocks    Max blocks    Min procedures    Max procedures    Min sprites    Max sprites
------------  --------------  ----------------  ----------------  --------  --------  ------------  ------------  ----------------  ----------------  -------------  -------------
          -1            6717                16                21         1       246             0         29378                 0               372              0            408
           0            7958                16                21         1        27            23           787                 0                 0              2             40
           1             115                16                21         2        17           209           263                 1                 1              6             20
           2              15                20                20        44        44          4944          4950                71                71             28             28
           3              62                20                20        20        20          3197          3218                51                51             17             17
           4              58                16                19         2        11           121           162                 2                 2              4             12
           5             427                16                20         1        15            61           207                 1                 1              3             16
           6             131                17                17        19        19          2385          2417                30                30             27             30
           7              33                20                20        61        61          5401          5411                92                92             20             20
           8              83                16                20         2        15           795           846                 0                 0             15             32
           9              12                20                20        19        19          2305          2321                 2                 2             15             15
          10              48                16                16        30        30          1654          1662                 0                 0              9              9
          11              26                17                17       123       123          1487          1492                 1                 1              8              8
          12              16                20                20        17        17          1103          1111                 4                 4             12             12
          13              58                16                20         2        16           686           715                 0                 0             13             16
          14              10                20                20        22        22          3101          3117                54                54              5              5
          15              18                16                18         3        10           875           894                 0                 0             27             41
          16              72                16                20         1        17           215           263                 2                 2              5             14
          17              22                20                20        19        19          8219          8222               105               105             20             20
          18              31                17                20         9        13           378           391                 1                 1              6              6
          19              43                20                20        29        29          4414          4430                55                55             13             13
          20             128                16                19         1        10            71           144                 3                 6              3              8
          21              17                16                20         2        14           115           136                 0                 0              2              2
          22              49                16                20         1        16           161           194                 2                 2              4             12
          23              15                20                20        59        59         17658         17664               236               236             29             29
          24              16                19                19        16        17           659           666                 1                 1             12             13
          25              42                16                19         1        12           289           324                 1                 1              8             16
          26              16                16                20         3        17           393           397                 5                 5              8              9
          27              12                17                18         3         5          1111          1123                 0                 0             73             78
          28              35                16                18         1         8            34            76                 0                 0              1              1
          29              13                19                19        64        64          7405          7408                 1                 1             99             99
          30              76                18                18        17        17          4561          4583                 8                 8             84             84
          31              15                20                20        19        19          2488          2493                11                11             49             49
          32              18                16                20         2        16           854           872                 0                 0             19             31
          33              28                17                20        14        17          1126          1152                 0                 0             17             19
          34              36                19                20        60        60          5138          5149                11                11             32             32
          35              10                17                17        19        19          1946          1953                26                26             27             27
          36              19                16                19         2        15           143           163                 0                 0              2              2
          37             100                16                17       121       121           761           775                 3                 3              6              6
          38              12                16                18         3        13           202           218                 3                 3              6              8
          39              24                16                19         3        12           257           291                 6                 6              7             11
          40              13                20                20        27        27          1895          1910                18                19             27             27
          41              15                20                20        26        26          4942          4958               102               102             16             16
          42              34                17                20         3        13          1317          1332                 0                 0             24             27
          43              12                20                20        33        33          3255          3264                48                48             19             19
          44              22                16                18         2         7           130           149                 3                 3              3              3
          45              13                16                20         2        16           880           886                 0                 0             19             25
          46              10                16                16         2         2          1921          1921                 0                 0             52             52
          47              17                16                19         3        16           908           927                 0                 0             31             41
          48              12                20                20        29        29          3413          3413                14                14             12             12
          49              32                16                20         2        10           186           210                 2                 2              5             15
          50              11                21                21        18        18          4361          4364                55                55             22             22
          51              14                16                19         3        10          1141          1150                 0                 0             19             22
          52              45                19                19        16        16           512           535                 4                 4              6              6
          53              23                19                20         4        10           454           475                 8                 9              9             11
          54              11                18                18        18        18           414           423                 2                 2             12             12
          55              10                19                19        55        55          7846          7846                88                88             10             10
          56              46                20                20        11        11          1113          1122                 1                 1             18             19
          57              52                16                20         6        19          1424          1443                 0                 0             26             35
          58              10                16                19         2         4           146           157                 5                 7              5              8
          59              22                16                19         1         5            55            86                 2                 2              3              5
          60              15                16                20         4        16           848           855                 0                 0             16             22
          61              18                16                20         2         8           437           448                 1                 1             16             21
          62              39                20                20        59        59         17724         17739               238               238             29             29
          63              52                18                18        19        19           518           535                 0                 0              5              5
          64              31                20                20         5         5          2003          2018                 5                 5             45             46
          65              27                16                18         5        12           467           490                 4                 4             12             15
          66              19                16                19        11        11           524           534                 1                 1              9             10
          67              19                16                20        14        19          1156          1164                 0                 0             21             23
          68              40                17                17        16        16          5276          5301                 0                 0            107            108
          69              88                20                20        21        21          1918          1934                 2                 2             33             34
          70              10                16                20         2        12           356           366                 1                 1             12             17
          71              22                16                19         2        11           835           856                 0                 0             34             49
          72              29                19                19        14        14          3190          3202                 0                 0             47             49
          73              15                17                17        22        22          2640          2649                29                29              4              4
          74              17                17                19         2        11           752           770                 0                 0             11             15
          75              21                20                20        14        14          1787          1795                20                20             25             25
          76              10                17                20         6        14          1214          1231                 0                 0             37             39
          77              13                18                19        19        21           765           770                 1                 1             15             17
          78              16                16                17         1         6            40            57                 1                 1              2              5
          79             127                16                18         2        10            87           102                 0                 0              1              1
          80              11                20                20        11        11          3491          3495                54                54             13             13
          81              21                16                18         2         9            87           114                 2                 2              3              7
          82              36                20                20         6         6          1300          1309                 0                 0             17             18
          83              23                20                20        11        11          3520          3547                54                54             13             13
          84              31                18                18         4         4           809           809                 0                 0              5              5
          85              28                18                18        17        17           420           433                 2                 2             16             16
          86              10                17                19         6        13          1919          1932                 0                 0             30             34
          87              10                16                19         2        10           509           516                 1                 1             10             12
          88              10                20                20        20        21          2659          2667                26                26             19             20
